,index,player,team,type,shot_outcome,shot_body_part,shot_type,location,shot_statsbomb_xg
0,3725,Mathias Jattah-Njie Jørgensen,Denmark,Shot,Goal,Left Foot,Open Play,"[115.0, 34.0]",0.07408676
1,3726,Mario Mandžukić,Croatia,Shot,Goal,Right Foot,Open Play,"[112.0, 36.0]",0.29299468
2,3727,Ivan Perišić,Croatia,Shot,Blocked,Left Foot,Free Kick,"[101.0, 55.0]",0.07871395
3,3728,Ivan Perišić,Croatia,Shot,Blocked,Right Foot,Open Play,"[103.0, 24.0]",0.028037952
4,3729,Christian Dannemann Eriksen,Denmark,Shot,Blocked,Right Foot,Open Play,"[96.0, 37.0]",0.06426074
5,3730,Martin Braithwaite Christensen,Denmark,Shot,Saved,Right Foot,Open Play,"[111.0, 50.0]",0.30314973
6,3731,Ivan Rakitić,Croatia,Shot,Saved,Right Foot,Open Play,"[94.0, 32.0]",0.03258096
7,3732,Ivan Perišić,Croatia,Shot,Wayward,Left Foot,Open Play,"[110.0, 32.0]",0.20444514
8,3733,Ivan Perišić,Croatia,Shot,Off T,Right Foot,Open Play,"[111.0, 34.0]",0.15178046
9,3734,Ante Rebić,Croatia,Shot,Blocked,Right Foot,Open Play,"[97.0, 30.0]",0.03208493
10,3735,Christian Dannemann Eriksen,Denmark,Shot,Off T,Left Foot,Open Play,"[96.0, 57.0]",0.01724441
11,3736,Dejan Lovren,Croatia,Shot,Off T,Head,Open Play,"[115.0, 39.0]",0.18882553
12,3737,Ivan Rakitić,Croatia,Shot,Saved,Left Foot,Open Play,"[104.0, 31.0]",0.09615429
13,3738,Ivan Perišić,Croatia,Shot,Off T,Right Foot,Open Play,"[98.0, 62.0]",0.014904396
14,3739,Martin Braithwaite Christensen,Denmark,Shot,Off T,Right Foot,Open Play,"[115.0, 52.0]",0.06730466
15,3740,Ivan Perišić,Croatia,Shot,Blocked,Right Foot,Open Play,"[108.0, 21.0]",0.017317483
16,3741,Ante Rebić,Croatia,Shot,Blocked,Right Foot,Open Play,"[102.0, 26.0]",0.033544227
17,3742,Nicolai Jørgensen,Denmark,Shot,Saved,Right Foot,Open Play,"[107.0, 50.0]",0.075596966
18,3743,Christian Dannemann Eriksen,Denmark,Shot,Off T,Right Foot,Open Play,"[101.0, 30.0]",0.038286086
19,3744,Luka Modrić,Croatia,Shot,Off T,Right Foot,Open Play,"[96.0, 51.0]",0.028009525
20,3745,Ante Rebić,Croatia,Shot,Saved,Left Foot,Open Play,"[97.0, 58.0]",0.01753663
21,3746,Ivan Perišić,Croatia,Shot,Off T,Head,Open Play,"[113.0, 31.0]",0.057968285
22,3747,Josip Pivarić,Croatia,Shot,Blocked,Left Foot,Open Play,"[98.0, 30.0]",0.024782224
23,3748,Lasse Schöne,Denmark,Shot,Off T,Right Foot,Open Play,"[97.0, 50.0]",0.026935928
24,3749,Ivan Rakitić,Croatia,Shot,Off T,Right Foot,Open Play,"[88.0, 40.0]",0.018788926
25,3750,Martin Braithwaite Christensen,Denmark,Shot,Off T,Right Foot,Open Play,"[100.0, 50.0]",0.015414895
26,3751,Thomas Delaney,Denmark,Shot,Blocked,Left Foot,Open Play,"[78.0, 47.0]",0.018779105
27,3752,Lasse Schöne,Denmark,Shot,Blocked,Right Foot,Open Play,"[95.0, 45.0]",0.016967557
28,3753,Lasse Schöne,Denmark,Shot,Off T,Right Foot,Open Play,"[95.0, 47.0]",0.032352064
29,3754,Mateo Kovačić,Croatia,Shot,Blocked,Right Foot,Open Play,"[98.0, 30.0]",0.041005496
30,3755,Pione Sisto Ifolo Emirmija,Denmark,Shot,Off T,Right Foot,Open Play,"[106.0, 20.0]",0.03230451
31,3756,Nicolai Jørgensen,Denmark,Shot,Off T,Right Foot,Open Play,"[112.0, 27.0]",0.04240444
32,3757,Luka Modrić,Croatia,Shot,Saved,Right Foot,Penalty,"[109.0, 41.0]",0.76
33,3758,Luka Modrić,Croatia,Shot,Saved,Right Foot,Open Play,"[97.0, 33.0]",0.066564746
34,3759,Andrej Kramarić,Croatia,Shot,Off T,Right Foot,Open Play,"[98.0, 28.0]",0.024423312
35,3760,Christian Dannemann Eriksen,Denmark,Shot,Saved,Right Foot,Penalty,"[108.0, 40.0]",0.76
36,3761,Milan Badelj,Croatia,Shot,Saved,Right Foot,Penalty,"[108.0, 40.0]",0.76
37,3762,Simon Thorup Kjær,Denmark,Shot,Goal,Right Foot,Penalty,"[108.0, 40.0]",0.76
38,3763,Andrej Kramarić,Croatia,Shot,Goal,Right Foot,Penalty,"[108.0, 40.0]",0.76
39,3764,Michael Krohn-Dehli,Denmark,Shot,Goal,Right Foot,Penalty,"[108.0, 40.0]",0.76
40,3765,Luka Modrić,Croatia,Shot,Goal,Right Foot,Penalty,"[108.0, 40.0]",0.76
41,3766,Lasse Schöne,Denmark,Shot,Saved,Right Foot,Penalty,"[108.0, 40.0]",0.76
